total,poblacion,death_per_1000
4896,881394.0,5.554836996848175
1046,209933.0,4.982542049129961
980,186869.0,5.244315536552344
1328,281396.0,4.719327922216379
2899,524004.0,5.532400516026596
2446,488716.0,5.004951751119259
4412,715751.0,6.164154852735099
2097,591083.0,3.547725107979759
67,33042.0,2.0277222928394165
26062,4387434.0,5.940146336104429
2580,476257.0,5.417243211123407
3096,521154.0,5.940662452940973
4727,921763.0,5.128216255154525
8169,1562079.0,5.229569055086203
524,196535.0,2.6661917724578323
487,133705.0,3.642346957854979
513,161338.0,3.179660092476664
401,114202.0,3.511322043396788
17684,3228233.0,5.477919344731313
1629,401178.0,4.060541704679718
2791,511151.0,5.4602260388808785
839,230503.0,3.6398658585788475
3725,590600.0,6.307145275990518
377,120416.0,3.130813180972628
