nuevas,dosis_total_diff,primera_dosis_diff,segunda_dosis_diff,refuerzo_diff,(MSP) UCI Porcentaje Ocupadas,(RPIS) UCI Porcentaje Ocupadas,(RPC) UCI Porcentaje Ocupadas
1034,79378.0,44241.0,35137.0,0.0,0.0,0.0,0.0
1619,44004.0,0.0,44004.0,0.0,0.0,0.0,0.0
985,105820.0,83629.0,22191.0,0.0,0.0,0.0,0.0
0,65789.0,43880.0,21909.0,0.0,0.0,0.0,0.0
507,129679.0,99222.0,30457.0,0.0,0.0,0.0,0.0
1302,147594.0,113621.0,33973.0,0.0,0.0,0.0,0.0
1078,163540.0,134874.0,28666.0,0.0,0.0,0.0,0.0
849,184606.0,151298.0,33308.0,0.0,0.0,0.0,0.0
1195,215690.0,202959.0,12731.0,0.0,0.0,0.0,0.0
903,260427.0,218498.0,41929.0,0.0,0.0,0.0,0.0
370,167032.0,155392.0,11640.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2468,597715.0,541406.0,56309.0,0.0,0.0,0.0,0.0
875,507014.0,449778.0,57236.0,0.0,0.0,0.0,0.0
965,390825.0,368249.0,22576.0,0.0,0.0,0.0,0.0
925,310038.0,282461.0,27577.0,0.0,0.0,0.0,0.0
1568,291240.0,270837.0,20403.0,0.0,0.0,0.0,0.0
850,295348.0,280687.0,14661.0,0.0,0.0,0.0,0.0
247,289550.0,270033.0,19517.0,0.0,0.0,0.0,0.0
1634,239427.0,226171.0,13256.0,0.0,80.0,0.0,0.0
669,348583.0,309343.0,39240.0,0.0,79.0,0.0,0.0
1169,239464.0,215544.0,23920.0,0.0,80.0,0.0,0.0
936,215317.0,191150.0,24167.0,0.0,80.0,0.0,0.0
0,167212.0,154867.0,12345.0,0.0,80.0,0.0,0.0
0,202521.0,179875.0,22646.0,0.0,80.0,0.0,0.0
2227,170775.0,132175.0,38600.0,0.0,80.0,0.0,0.0
786,243846.0,187967.0,55879.0,0.0,80.0,0.0,0.0
0,288999.0,219817.0,69182.0,0.0,80.0,0.0,0.0
0,345764.0,273272.0,72492.0,0.0,80.0,0.0,0.0
0,292154.0,242825.0,49329.0,0.0,80.0,0.0,0.0
0,197867.0,163005.0,34862.0,0.0,80.0,0.0,0.0
0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
0,312655.0,221848.0,90807.0,0.0,80.0,0.0,0.0
0,185339.0,88877.0,96462.0,0.0,80.0,0.0,0.0
0,220821.0,88287.0,132534.0,0.0,80.0,0.0,0.0
6623,245488.0,77846.0,167642.0,0.0,78.0,84.0,55.0
829,265429.0,60922.0,204507.0,0.0,77.0,81.0,52.0
646,234081.0,51953.0,182128.0,0.0,76.0,79.0,52.0
353,467863.0,291622.0,176241.0,0.0,73.0,78.0,47.0
81,0.0,0.0,0.0,0.0,76.0,80.0,45.0
