date,(MSP) UCI Porcentaje Ocupadas,(RPIS) UCI Porcentaje Ocupadas,(RPC) UCI Porcentaje Ocupadas
2021-07-01,0,0,0
2021-07-02,0,0,0
2021-07-03,0,0,0
2021-07-04,0,0,0
2021-07-05,0,0,0
2021-07-06,0,0,0
2021-07-07,0,0,0
2021-07-08,0,0,0
2021-07-09,0,0,0
2021-07-10,0,0,0
2021-07-11,0,0,0
2021-07-12,0,0,0
2021-07-13,0,0,0
2021-07-14,0,0,0
2021-07-15,0,0,0
2021-07-16,0,0,0
2021-07-17,0,0,0
2021-07-18,0,0,0
2021-07-19,0,0,0
2021-07-20,80,0,0
2021-07-21,79,0,0
2021-07-22,80,0,0
2021-07-23,80,0,0
2021-07-24,80,0,0
2021-07-25,80,0,0
2021-07-26,80,0,0
2021-07-27,80,0,0
2021-07-28,80,0,0
2021-07-29,80,0,0
2021-07-30,80,0,0
2021-07-31,80,0,0
2021-08-01,80,0,0
2021-08-02,80,0,0
2021-08-03,80,0,0
2021-08-04,80,0,0
2021-08-05,78,84,55
2021-08-06,77,81,52
2021-08-07,76,79,52
2021-08-08,73,78,47
2021-08-09,76,80,45
2021-08-10,76,79,44
2021-08-11,75,80,43
2021-08-12,73,80,44
2021-08-13,73,81,40
2021-08-14,73,81,39
2021-08-15,72,81,38
2021-08-16,67,79,37
2021-08-17,66,79,38
2021-08-18,64,79,38
2021-08-19,63,82,39
2021-08-20,62,79,37
2021-08-21,61,79,38
2021-08-22,60,79,31
2021-08-23,61,71,34
2021-08-24,54,70,34
2021-08-25,49,66,29
2021-08-26,50,73,26
2021-08-27,48,63,29
2021-08-28,50,62,32
2021-08-29,48,62,29
2021-08-30,48,62,29
2021-08-31,48,63,29
2021-09-01,45,61,30
2021-09-02,61,71,34
2021-09-03,43,64,25
2021-09-04,47,61,23
2021-09-05,47,61,23
2021-09-06,47,61,23
2021-09-07,53,68,53
2021-09-08,54,59,20
2021-09-09,52,58,20
2021-09-10,49,55,17
2021-09-11,50,53,18
2021-09-12,46,50,18
2021-09-13,45,50,17
2021-09-14,48,45,17
2021-09-15,45,48,19
2021-09-16,44,48,17
2021-09-17,40,47,25
2021-09-18,43,46,17
2021-09-19,42,46,17
2021-09-20,44,46,17
2021-09-21,41,45,17
2021-09-22,41,50,18
2021-09-23,40,43,16
2021-09-24,40,42,15
2021-09-25,35,44,17
2021-09-26,38,45,18
2021-09-27,38,45,18
2021-09-28,39,46,17
2021-09-29,42,47,17
2021-09-30,44,46,16
2021-10-01,39,43,16
2021-10-02,40,41,13
2021-10-03,36,47,13
2021-10-04,31,50,12
2021-10-05,32,48,12
2021-10-06,36,48,12
2021-10-07,35,52,19
2021-10-08,29,44,12
2021-10-09,33,48,13
2021-10-10,30,45,19
2021-10-11,29,45,19
2021-10-12,27,42,20
2021-10-13,32,42,17
2021-10-14,36,42,15
2021-10-15,39,41,15
2021-10-16,37,40,12
2021-10-17,36,40,12
2021-10-18,34,46,17
2021-10-19,34,37,17
2021-10-20,32,43,16
2021-10-21,28,49,17
2021-10-22,30,47,17
2021-10-23,31,49,19
2021-10-24,31,47,20
2021-10-25,34,51,18
2021-10-26,33,47,18
2021-10-27,35,58,18
2021-10-28,32,57,17
2021-10-29,34,56,17
2021-10-30,36,56,16
2021-10-31,35,56,15
2021-11-01,37,55,16
2021-11-02,38,54,15
2021-11-03,46,59,17
2021-11-04,50,59,18
2021-11-05,51,58,18
2021-11-06,47,60,18
2021-11-07,45,58,16
2021-11-08,45,62,17
2021-11-09,42,46,16
2021-11-10,44,61,15
2021-11-11,45,47,17
2021-11-12,49,59,15
2021-11-13,45,60,15
2021-11-14,44,56,15
2021-11-15,41,60,14
2021-11-16,41,64,12
2021-11-17,42,65,13
2021-11-18,45,73,15
2021-11-19,45,66,17
2021-11-20,47,65,17
2021-11-21,48,68,16
2021-11-22,50,67,22
2021-11-23,47,67,20
2021-11-24,50,67,20
2021-11-25,55,65,21
2021-11-26,55,66,19
2021-11-27,54,67,18
2021-11-28,47,66,18
2021-11-29,51,57,19
2021-11-30,56,72,21
2021-12-01,56,69,19
2021-12-02,55,66,20
2021-12-03,55,68,21
2021-12-04,52,67,23
2021-12-05,50,68,21
2021-12-06,55,69,20
2021-12-07,61,71,19
2021-12-08,55,70,22
2021-12-09,54,69,22
2021-12-10,53,74,19
2021-12-11,54,74,21
2021-12-12,53,76,22
2021-12-13,55,76,22
2021-12-14,55,74,25
2021-12-15,52,76,22
2021-12-16,51,75,22
