fecha,dosis_total,primera_dosis,segunda_dosis,refuerzo,primera_dosis_diff,segunda_dosis_diff,refuerzo_diff,dosis_total_diff
2021-01-20,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-21,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-22,108,108,0,0,108.0,0.0,0.0,108.0
2021-01-27,2982,2982,0,0,2874.0,0.0,0.0,2874.0
2021-02-04,6228,6228,0,0,3246.0,0.0,0.0,3246.0
2021-02-17,8190,6228,1962,0,0.0,1962.0,0.0,1962.0
2021-02-24,24492,20784,3708,0,14556.0,1746.0,0.0,16302.0
2021-03-01,42114,35886,6228,0,15102.0,2520.0,0.0,17622.0
2021-03-04,59316,53088,6228,0,17202.0,0.0,0.0,17202.0
2021-03-05,71148,64920,6228,0,11832.0,0.0,0.0,11832.0
2021-03-08,74472,68244,6228,0,3324.0,0.0,0.0,3324.0
2021-03-09,75258,69030,6228,0,786.0,0.0,0.0,786.0
2021-03-11,95915,89687,6228,0,20657.0,0.0,0.0,20657.0
2021-03-12,123176,116948,6228,0,27261.0,0.0,0.0,27261.0
2021-03-13,139359,119222,20137,0,2274.0,13909.0,0.0,16183.0
2021-03-15,141191,121054,20137,0,1832.0,0.0,0.0,1832.0
2021-03-21,178970,140765,38205,0,19711.0,18068.0,0.0,37779.0
2021-03-23,182261,143614,38647,0,2849.0,442.0,0.0,3291.0
2021-03-24,191179,152526,38653,0,8912.0,6.0,0.0,8918.0
2021-03-26,230770,172413,58357,0,19887.0,19704.0,0.0,39591.0
2021-03-27,235000,174642,60358,0,2229.0,2001.0,0.0,4230.0
2021-03-29,244866,182329,62537,0,7687.0,2179.0,0.0,9866.0
2021-04-01,283106,204902,78204,0,22573.0,15667.0,0.0,38240.0
2021-04-04,301069,211720,89349,0,6818.0,11145.0,0.0,17963.0
2021-04-05,335093,228504,106589,0,16784.0,17240.0,0.0,34024.0
2021-04-06,356783,244159,112624,0,15655.0,6035.0,0.0,21690.0
2021-04-08,363255,250631,112624,0,6472.0,0.0,0.0,6472.0
2021-04-14,480962,338180,142782,0,87549.0,30158.0,0.0,117707.0
2021-04-15,485132,338180,146952,0,0.0,4170.0,0.0,4170.0
2021-04-16,514151,354019,160132,0,15839.0,13180.0,0.0,29019.0
2021-04-17,545132,377199,167933,0,23180.0,7801.0,0.0,30981.0
2021-04-18,554369,384093,170276,0,6894.0,2343.0,0.0,9237.0
2021-04-19,577711,401871,175840,0,17778.0,5564.0,0.0,23342.0
2021-04-20,601229,421937,179292,0,20066.0,3452.0,0.0,23518.0
2021-04-21,643702,457403,186299,0,35466.0,7007.0,0.0,42473.0
2021-04-22,675510,486524,188986,0,29121.0,2687.0,0.0,31808.0
2021-04-23,711204,514854,196350,0,28330.0,7364.0,0.0,35694.0
2021-04-24,732717,532367,200350,0,17513.0,4000.0,0.0,21513.0
2021-04-25,743937,541420,202517,0,9053.0,2167.0,0.0,11220.0
2021-04-26,765489,555265,210224,0,13845.0,7707.0,0.0,21552.0
2021-04-27,816175,595699,220476,0,40434.0,10252.0,0.0,50686.0
2021-04-28,861393,633421,227972,0,37722.0,7496.0,0.0,45218.0
2021-04-29,920865,691000,229865,0,57579.0,1893.0,0.0,59472.0
2021-04-30,987452,748021,239431,0,57021.0,9566.0,0.0,66587.0
2021-05-01,1036794,791822,244972,0,43801.0,5541.0,0.0,49342.0
2021-05-02,1067472,821960,245512,0,30138.0,540.0,0.0,30678.0
2021-05-04,1141262,889218,252044,0,67258.0,6532.0,0.0,73790.0
2021-05-05,1182085,924539,257546,0,35321.0,5502.0,0.0,40823.0
2021-05-06,1215676,953238,262438,0,28699.0,4892.0,0.0,33591.0
2021-05-07,1245822,981620,264202,0,28382.0,1764.0,0.0,30146.0
2021-05-09,1289962,1024121,265841,0,42501.0,1639.0,0.0,44140.0
2021-05-11,1339196,1066590,272606,0,42469.0,6765.0,0.0,49234.0
2021-05-12,1355698,1076427,279271,0,9837.0,6665.0,0.0,16502.0
2021-05-13,1405898,1101897,304001,0,25470.0,24730.0,0.0,50200.0
2021-05-14,1456293,1138269,318024,0,36372.0,14023.0,0.0,50395.0
2021-05-15,1485936,1152298,333638,0,14029.0,15614.0,0.0,29643.0
2021-05-16,1524724,1179062,345662,0,26764.0,12024.0,0.0,38788.0
2021-05-17,1560453,1203517,356936,0,24455.0,11274.0,0.0,35729.0
2021-05-18,1583399,1203778,379621,0,261.0,22685.0,0.0,22946.0
2021-05-19,1627070,1225735,401335,0,21957.0,21714.0,0.0,43671.0
2021-05-20,1727805,1299730,428075,0,73995.0,26740.0,0.0,100735.0
2021-05-22,1893053,1404426,488627,0,104696.0,60552.0,0.0,165248.0
2021-05-23,1946346,1448787,497559,0,44361.0,8932.0,0.0,53293.0
2021-05-25,2025156,1509795,515361,0,61008.0,17802.0,0.0,78810.0
2021-05-27,2110324,1526895,583429,0,17100.0,68068.0,0.0,85168.0
2021-05-28,2172656,1538178,634478,0,11283.0,51049.0,0.0,62332.0
2021-05-29,2205483,1552480,653003,0,14302.0,18525.0,0.0,32827.0
2021-05-30,2225005,1562970,662035,0,10490.0,9032.0,0.0,19522.0
2021-06-01,2387698,1622557,765141,0,59587.0,103106.0,0.0,162693.0
2021-06-02,2447889,1657029,790860,0,34472.0,25719.0,0.0,60191.0
2021-06-03,2529218,1702124,827094,0,45095.0,36234.0,0.0,81329.0
2021-06-04,2597836,1744825,853011,0,42701.0,25917.0,0.0,68618.0
2021-06-05,2645983,1774025,871958,0,29200.0,18947.0,0.0,48147.0
2021-06-06,2665806,1791632,874174,0,17607.0,2216.0,0.0,19823.0
