provincia,total,acumuladas,lat,lng,mes,year,poblacion
Azuay,327,327,-2.897414,-79.004481,1,2015,
Bolívar,57,57,-1.605556,-79.003056,1,2015,
Carchi,63,63,0.81218,-77.71633,1,2015,
Cañar,87,87,-2.733333,-78.833333,1,2015,
Chimborazo,156,156,-1.674347,-78.64829399999999,1,2015,
Cotopaxi,164,164,-0.933333,-78.616667,1,2015,
El Oro,222,222,-3.266667,-79.966667,1,2015,
Esmeraldas,132,132,1.05,-79.2,1,2015,
Galápagos,1,1,-0.799999999999999,-89.4,1,2015,
Guayas,1555,1555,-2.183333,-79.883333,1,2015,
Imbabura,163,163,0.362678,-78.130667,1,2015,
Loja,225,225,-3.983333,-79.2,1,2015,
Los Ríos,280,280,-1.8,-79.533333,1,2015,
Manabí,475,475,-1.056181,-80.455217,1,2015,
Morona Santiago,33,33,-2.3,-78.116667,1,2015,
Napo,27,27,-0.989,-77.8159,1,2015,
Orellana,31,31,-0.466667,-76.966667,1,2015,
Otro,1,1,0.0,0.0,1,2015,
Pastaza,22,22,-1.066667,-78.001111,1,2015,
Pichincha,963,963,-0.218611,-78.509722,1,2015,
Santa Elena,108,108,-2.2267,-80.8583,1,2015,
Sto. Domingo Tsáchilas,139,139,-0.254167,-79.171944,1,2015,
Sucumbíos,42,42,0.084722,-76.882778,1,2015,
Tungurahua,212,212,-1.241667,-78.619722,1,2015,
Zamora Chinchipe,22,22,-4.12,-78.8,1,2015,
Azuay,292,619,-2.897414,-79.004481,2,2015,
Bolívar,78,135,-1.605556,-79.003056,2,2015,
Carchi,42,105,0.81218,-77.71633,2,2015,
Cañar,74,161,-2.733333,-78.833333,2,2015,
Chimborazo,187,343,-1.674347,-78.64829399999999,2,2015,
Cotopaxi,124,288,-0.933333,-78.616667,2,2015,
El Oro,208,430,-3.266667,-79.966667,2,2015,
Esmeraldas,112,244,1.05,-79.2,2,2015,
Galápagos,1,2,-0.799999999999999,-89.4,2,2015,
Guayas,1443,2998,-2.183333,-79.883333,2,2015,
Imbabura,134,297,0.362678,-78.130667,2,2015,
Loja,165,390,-3.983333,-79.2,2,2015,
Los Ríos,227,507,-1.8,-79.533333,2,2015,
Manabí,440,915,-1.056181,-80.455217,2,2015,
Morona Santiago,25,58,-2.3,-78.116667,2,2015,
Napo,18,45,-0.989,-77.8159,2,2015,
Orellana,25,56,-0.466667,-76.966667,2,2015,
Otro,1,2,0.0,0.0,2,2015,
Pastaza,20,42,-1.066667,-78.001111,2,2015,
Pichincha,872,1835,-0.218611,-78.509722,2,2015,
Santa Elena,80,188,-2.2267,-80.8583,2,2015,
Sto. Domingo Tsáchilas,139,278,-0.254167,-79.171944,2,2015,
Sucumbíos,38,80,0.084722,-76.882778,2,2015,
Tungurahua,211,423,-1.241667,-78.619722,2,2015,
Zamora Chinchipe,17,39,-4.12,-78.8,2,2015,
Azuay,329,948,-2.897414,-79.004481,3,2015,
Bolívar,71,206,-1.605556,-79.003056,3,2015,
Carchi,60,165,0.81218,-77.71633,3,2015,
Cañar,85,246,-2.733333,-78.833333,3,2015,
Chimborazo,206,549,-1.674347,-78.64829399999999,3,2015,
Cotopaxi,131,419,-0.933333,-78.616667,3,2015,
El Oro,245,675,-3.266667,-79.966667,3,2015,
Esmeraldas,122,366,1.05,-79.2,3,2015,
Galápagos,2,4,-0.799999999999999,-89.4,3,2015,
Guayas,1596,4594,-2.183333,-79.883333,3,2015,
Imbabura,167,464,0.362678,-78.130667,3,2015,
Loja,178,568,-3.983333,-79.2,3,2015,
Los Ríos,253,760,-1.8,-79.533333,3,2015,
Manabí,518,1433,-1.056181,-80.455217,3,2015,
Morona Santiago,30,88,-2.3,-78.116667,3,2015,
Napo,28,73,-0.989,-77.8159,3,2015,
Orellana,30,86,-0.466667,-76.966667,3,2015,
Otro,2,4,0.0,0.0,3,2015,
Pastaza,16,58,-1.066667,-78.001111,3,2015,
Pichincha,958,2793,-0.218611,-78.509722,3,2015,
Santa Elena,115,303,-2.2267,-80.8583,3,2015,
Sto. Domingo Tsáchilas,138,416,-0.254167,-79.171944,3,2015,
Sucumbíos,37,117,0.084722,-76.882778,3,2015,
Tungurahua,202,625,-1.241667,-78.619722,3,2015,
Zamora Chinchipe,22,61,-4.12,-78.8,3,2015,
Azuay,317,1265,-2.897414,-79.004481,4,2015,
Bolívar,65,271,-1.605556,-79.003056,4,2015,
Carchi,45,210,0.81218,-77.71633,4,2015,
Cañar,84,330,-2.733333,-78.833333,4,2015,
Chimborazo,194,743,-1.674347,-78.64829399999999,4,2015,
Cotopaxi,125,544,-0.933333,-78.616667,4,2015,
El Oro,227,902,-3.266667,-79.966667,4,2015,
Esmeraldas,144,510,1.05,-79.2,4,2015,
Galápagos,2,6,-0.799999999999999,-89.4,4,2015,
Guayas,1632,6226,-2.183333,-79.883333,4,2015,
Imbabura,140,604,0.362678,-78.130667,4,2015,
Loja,164,732,-3.983333,-79.2,4,2015,
Los Ríos,248,1008,-1.8,-79.533333,4,2015,
Manabí,553,1986,-1.056181,-80.455217,4,2015,
Morona Santiago,39,127,-2.3,-78.116667,4,2015,
Napo,28,101,-0.989,-77.8159,4,2015,
Orellana,26,112,-0.466667,-76.966667,4,2015,
Otro,0,4,0.0,0.0,4,2015,
Pastaza,17,75,-1.066667,-78.001111,4,2015,
Pichincha,982,3775,-0.218611,-78.509722,4,2015,
Santa Elena,111,414,-2.2267,-80.8583,4,2015,
Sto. Domingo Tsáchilas,138,554,-0.254167,-79.171944,4,2015,
Sucumbíos,37,154,0.084722,-76.882778,4,2015,
Tungurahua,205,830,-1.241667,-78.619722,4,2015,
Zamora Chinchipe,13,74,-4.12,-78.8,4,2015,
Azuay,290,1555,-2.897414,-79.004481,5,2015,
Bolívar,65,336,-1.605556,-79.003056,5,2015,
Carchi,56,266,0.81218,-77.71633,5,2015,
Cañar,87,417,-2.733333,-78.833333,5,2015,
Chimborazo,194,937,-1.674347,-78.64829399999999,5,2015,
Cotopaxi,143,687,-0.933333,-78.616667,5,2015,
El Oro,231,1133,-3.266667,-79.966667,5,2015,
Esmeraldas,150,660,1.05,-79.2,5,2015,
Galápagos,3,9,-0.799999999999999,-89.4,5,2015,
Guayas,1797,8023,-2.183333,-79.883333,5,2015,
Imbabura,147,751,0.362678,-78.130667,5,2015,
Loja,185,917,-3.983333,-79.2,5,2015,
Los Ríos,263,1271,-1.8,-79.533333,5,2015,
Manabí,606,2592,-1.056181,-80.455217,5,2015,
Morona Santiago,38,165,-2.3,-78.116667,5,2015,
Napo,37,138,-0.989,-77.8159,5,2015,
Orellana,38,150,-0.466667,-76.966667,5,2015,
Otro,3,7,0.0,0.0,5,2015,
Pastaza,25,100,-1.066667,-78.001111,5,2015,
Pichincha,948,4723,-0.218611,-78.509722,5,2015,
Santa Elena,120,534,-2.2267,-80.8583,5,2015,
Sto. Domingo Tsáchilas,155,709,-0.254167,-79.171944,5,2015,
Sucumbíos,49,203,0.084722,-76.882778,5,2015,
Tungurahua,211,1041,-1.241667,-78.619722,5,2015,
Zamora Chinchipe,25,99,-4.12,-78.8,5,2015,
Azuay,306,1861,-2.897414,-79.004481,6,2015,
Bolívar,63,399,-1.605556,-79.003056,6,2015,
Carchi,64,330,0.81218,-77.71633,6,2015,
Cañar,77,494,-2.733333,-78.833333,6,2015,
Chimborazo,184,1121,-1.674347,-78.64829399999999,6,2015,
Cotopaxi,131,818,-0.933333,-78.616667,6,2015,
El Oro,211,1344,-3.266667,-79.966667,6,2015,
Esmeraldas,120,780,1.05,-79.2,6,2015,
Galápagos,5,14,-0.799999999999999,-89.4,6,2015,
Guayas,1729,9752,-2.183333,-79.883333,6,2015,
Imbabura,126,877,0.362678,-78.130667,6,2015,
Loja,181,1098,-3.983333,-79.2,6,2015,
Los Ríos,247,1518,-1.8,-79.533333,6,2015,
