provincia,total,acumuladas,lat,lng,mes
Azuay,314,314,-2.897414,-79.004481,1
Bolívar,55,55,-1.605556,-79.003056,1
Carchi,61,61,0.81218,-77.71633,1
Cañar,84,84,-2.733333,-78.833333,1
Chimborazo,171,171,-1.674347,-78.64829399999999,1
Cotopaxi,151,151,-0.933333,-78.616667,1
El Oro,225,225,-3.266667,-79.966667,1
Esmeraldas,125,125,1.05,-79.2,1
Galápagos,6,6,-0.799999999999999,-89.4,1
Guayas,1668,1668,-2.183333,-79.883333,1
Imbabura,157,157,0.362678,-78.130667,1
Loja,180,180,-3.983333,-79.2,1
Los Ríos,286,286,-1.8,-79.533333,1
Manabí,482,482,-1.056181,-80.455217,1
Morona Santiago,42,42,-2.3,-78.116667,1
Napo,29,29,-0.989,-77.8159,1
Orellana,35,35,-0.466667,-76.966667,1
Otro,0,0,0.0,0.0,1
Pastaza,22,22,-1.066667,-78.001111,1
Pichincha,966,966,-0.218611,-78.509722,1
Santa Elena,100,100,-2.2267,-80.8583,1
Sto. Domingo Tsáchilas,161,161,-0.254167,-79.171944,1
Sucumbíos,53,53,0.084722,-76.882778,1
Tungurahua,242,242,-1.241667,-78.619722,1
Zamora Chinchipe,16,16,-4.12,-78.8,1
Azuay,282,596,-2.897414,-79.004481,2
Bolívar,61,116,-1.605556,-79.003056,2
Carchi,48,109,0.81218,-77.71633,2
Cañar,93,177,-2.733333,-78.833333,2
Chimborazo,177,348,-1.674347,-78.64829399999999,2
Cotopaxi,118,269,-0.933333,-78.616667,2
El Oro,216,441,-3.266667,-79.966667,2
Esmeraldas,119,244,1.05,-79.2,2
Galápagos,0,6,-0.799999999999999,-89.4,2
Guayas,1645,3313,-2.183333,-79.883333,2
Imbabura,160,317,0.362678,-78.130667,2
Loja,191,371,-3.983333,-79.2,2
Los Ríos,284,570,-1.8,-79.533333,2
Manabí,469,951,-1.056181,-80.455217,2
Morona Santiago,33,75,-2.3,-78.116667,2
Napo,28,57,-0.989,-77.8159,2
Orellana,29,64,-0.466667,-76.966667,2
Otro,1,1,0.0,0.0,2
Pastaza,26,48,-1.066667,-78.001111,2
Pichincha,915,1881,-0.218611,-78.509722,2
Santa Elena,107,207,-2.2267,-80.8583,2
Sto. Domingo Tsáchilas,169,330,-0.254167,-79.171944,2
Sucumbíos,33,86,0.084722,-76.882778,2
Tungurahua,215,457,-1.241667,-78.619722,2
Zamora Chinchipe,11,27,-4.12,-78.8,2
Azuay,353,949,-2.897414,-79.004481,3
Bolívar,73,189,-1.605556,-79.003056,3
Carchi,61,170,0.81218,-77.71633,3
Cañar,74,251,-2.733333,-78.833333,3
Chimborazo,184,532,-1.674347,-78.64829399999999,3
Cotopaxi,139,408,-0.933333,-78.616667,3
El Oro,214,655,-3.266667,-79.966667,3
Esmeraldas,154,398,1.05,-79.2,3
Galápagos,4,10,-0.799999999999999,-89.4,3
Guayas,2047,5360,-2.183333,-79.883333,3
Imbabura,137,454,0.362678,-78.130667,3
Loja,191,562,-3.983333,-79.2,3
Los Ríos,324,894,-1.8,-79.533333,3
Manabí,615,1566,-1.056181,-80.455217,3
Morona Santiago,40,115,-2.3,-78.116667,3
Napo,25,82,-0.989,-77.8159,3
Orellana,32,96,-0.466667,-76.966667,3
Otro,0,1,0.0,0.0,3
Pastaza,43,91,-1.066667,-78.001111,3
Pichincha,990,2871,-0.218611,-78.509722,3
Santa Elena,104,311,-2.2267,-80.8583,3
Sto. Domingo Tsáchilas,165,495,-0.254167,-79.171944,3
Sucumbíos,43,129,0.084722,-76.882778,3
