provincia,poblacion,total,acumuladas,lat,lng,mes
Azuay,881394,364,364,-2.897414,-79.004481,1
Bolívar,209933,63,63,-1.605556,-79.003056,1
Carchi,186869,57,57,0.81218,-77.71633,1
Cañar,281396,109,109,-2.733333,-78.833333,1
Chimborazo,524004,219,219,-1.674347,-78.64829399999999,1
Cotopaxi,488716,138,138,-0.933333,-78.616667,1
El Oro,715751,306,306,-3.266667,-79.966667,1
Esmeraldas,591083,134,134,1.05,-79.2,1
Galápagos,33042,5,5,-0.799999999999999,-89.4,1
Guayas,4387434,1975,1975,-2.183333,-79.883333,1
Imbabura,476257,187,187,0.362678,-78.130667,1
Loja,521154,218,218,-3.983333,-79.2,1
Los Ríos,921763,301,301,-1.8,-79.533333,1
Manabí,1562079,626,626,-1.056181,-80.455217,1
Morona Santiago,196535,49,49,-2.3,-78.116667,1
Napo,133705,35,35,-0.989,-77.8159,1
Orellana,161338,42,42,-0.466667,-76.966667,1
Pastaza,114202,34,34,-1.066667,-78.001111,1
Pichincha,3228233,1212,1212,-0.218611,-78.509722,1
Santa Elena,401178,116,116,-2.2267,-80.8583,1
Sto. Domingo Tsáchilas,511151,206,206,-0.254167,-79.171944,1
Sucumbíos,230503,60,60,0.084722,-76.882778,1
Tungurahua,590600,254,254,-1.241667,-78.619722,1
Zamora Chinchipe,120416,26,26,-4.12,-78.8,1
Azuay,881394,327,691,-2.897414,-79.004481,2
Bolívar,209933,85,148,-1.605556,-79.003056,2
Carchi,186869,57,114,0.81218,-77.71633,2
Cañar,281396,77,186,-2.733333,-78.833333,2
Chimborazo,524004,189,408,-1.674347,-78.64829399999999,2
Cotopaxi,488716,158,296,-0.933333,-78.616667,2
El Oro,715751,228,534,-3.266667,-79.966667,2
Esmeraldas,591083,160,294,1.05,-79.2,2
Galápagos,33042,4,9,-0.799999999999999,-89.4,2
Guayas,4387434,1733,3708,-2.183333,-79.883333,2
Imbabura,476257,156,343,0.362678,-78.130667,2
Loja,521154,176,394,-3.983333,-79.2,2
Los Ríos,921763,288,589,-1.8,-79.533333,2
Manabí,1562079,543,1169,-1.056181,-80.455217,2
Morona Santiago,196535,48,97,-2.3,-78.116667,2
Napo,133705,31,66,-0.989,-77.8159,2
Orellana,161338,30,72,-0.466667,-76.966667,2
